Algorithm,Final Cumulative Regret,Sample Mean,SE,95% CI Lower,95% CI Upper
ucb1,187.06,187.06,0.7381138944716603,185.61329676683556,188.50670323316444
bayes_ucb,180.66,180.66,0.7747557451522801,179.14147873950154,182.17852126049846
thompson,179.84,179.84,0.8891853041129869,178.09719680393854,181.58280319606146
greedy,179.09,179.09,0.7463168823555374,177.62721891058314,180.55278108941687
