Price,Close,High,Low,Open,Volume
Ticker,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD
Datetime,,,,,
2024-03-06 00:00:00+00:00,393.233642578125,396.8230895996094,392.9136657714844,394.6885986328125,0
2024-03-06 01:00:00+00:00,390.3808898925781,394.91107177734375,390.2835388183594,392.8983154296875,0
2024-03-06 02:00:00+00:00,386.5531921386719,391.0392761230469,386.5531921386719,390.15667724609375,0
2024-03-06 03:00:00+00:00,391.3562316894531,391.3562316894531,386.42657470703125,386.57049560546875,15566592
2024-03-06 04:00:00+00:00,403.53216552734375,403.7766418457031,391.3453674316406,391.3453674316406,0
2024-03-06 05:00:00+00:00,404.47601318359375,405.070556640625,400.7472229003906,403.4070739746094,0
2024-03-06 06:00:00+00:00,403.8772277832031,405.63140869140625,402.3543395996094,404.5651550292969,9917696
2024-03-06 07:00:00+00:00,410.22100830078125,410.5801086425781,402.6177062988281,403.8095397949219,36413440
2024-03-06 08:00:00+00:00,412.55718994140625,414.7651062011719,410.2201232910156,410.2201232910156,42921216
2024-03-06 09:00:00+00:00,408.57183837890625,413.3705139160156,408.57183837890625,412.8058166503906,41538560
2024-03-06 10:00:00+00:00,431.55450439453125,431.55450439453125,408.62200927734375,408.68304443359375,378298880
2024-03-06 11:00:00+00:00,427.09893798828125,433.1363525390625,427.09893798828125,431.708740234375,183419648
2024-03-06 12:00:00+00:00,421.29931640625,428.814697265625,418.9948425292969,427.1184997558594,139997184
2024-03-06 13:00:00+00:00,422.6306457519531,423.6888732910156,419.5740966796875,421.1074523925781,101086720
2024-03-06 14:00:00+00:00,419.0533447265625,424.6136169433594,417.9274597167969,422.6788330078125,28851456
2024-03-06 15:00:00+00:00,419.6597900390625,420.6891174316406,415.4561462402344,418.9283142089844,0
2024-03-06 16:00:00+00:00,422.8084716796875,422.8084716796875,419.9600524902344,419.9954833984375,0
2024-03-06 17:00:00+00:00,423.8019714355469,424.0564880371094,421.5440368652344,422.78448486328125,0
2024-03-06 18:00:00+00:00,424.7699279785156,424.7699279785156,422.625244140625,423.85748291015625,0
2024-03-06 19:00:00+00:00,425.54754638671875,425.8758239746094,424.3550720214844,424.8697509765625,0
2024-03-06 20:00:00+00:00,428.0472106933594,428.1047058105469,425.1101379394531,425.470947265625,0
2024-03-06 21:00:00+00:00,428.01177978515625,428.0225830078125,426.64874267578125,428.0225830078125,0
2024-03-06 22:00:00+00:00,427.0856018066406,429.95050048828125,426.2961730957031,427.98211669921875,1129216
2024-03-06 23:00:00+00:00,428.9597473144531,429.3399963378906,426.1712341308594,426.9671936035156,0
