sym,td_cum,td_sharpe,td_turnover,dqn_cum,dqn_sharpe,dqn_turnover
AAVE,-0.3095384090859522,-3.602646213978809,0.1485632183908046,-0.531124426520905,-5.494799209873453,0.25545977011494253
ETC,-0.4234032426445684,-5.367337889352044,0.12643678160919541,-0.20202517411796206,-1.95222166831679,0.15977011494252874
SUI,-0.031554348770137186,-0.40156583391168493,0.11149425287356322,-0.5848867120931821,-5.995074660830645,0.21695402298850575
